Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-2019,109 min,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
-2019,110 min,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
-1997,147 min,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
-2005,142 min,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
-2012,82 min,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
-2014,116 min,"Action, Crime, Thriller",4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
-2004,96 min,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
-2016,120 min,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
-1991,161 min,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
-2012,166 min,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
-2018,102 min,"Comedy, Drama",7.4,"6,619",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
-2010,87 min,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
-1958,132 min,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
-2021,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
-2017,116 min,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
-2009,146 min,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
-2005,116 min,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
-1993,168 min,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
-2002,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
-2014,126 min,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
-2004,94 min,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
-2008,138 min,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
-2016,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
-2012,124 min,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
-2018,144 min,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
-1994,157 min,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
-2007,136 min,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
-2019,107 min,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
-2017,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
-2012,80 min,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
-2003,122 min,"Action, Crime, Thriller",5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
-2014,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
-2018,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
-1998,149 min,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
-2017,130 min,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
-2018,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
-1979,121 min,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
-2019,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
-2002,188 min,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
-1974,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
-2014,103 min,"Horror, Romance",5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
-2012,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
-2003,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
-2019,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
-2009,170 min,"Comedy, Drama",8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
-2018,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
-2015,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
-2015,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
-2006,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
